observation_id,candidate_key,identity_review_status,current_release_name_collision,farm_name,entity_type_source,entity_type_review,state,county,county_fips,county_source,city,postal_code,address,latitude,longitude,location_precision,address_visibility,contact_name,phone,email,contact_visibility,products,business_types,website_url,facebook_url,instagram_url,tiktok_url,on_farm_sales,farmers_market_sales,online_sales,local_delivery,u_pick,wholesale,farm_to_school,retail_sales,restaurant_sales,hours_or_season,source_pass,source_name,source_url,source_record_id,evidence_grade,retrieved_date,promotion_status,notes
txobs_abeea3392db69e655c22,1915 farm,exact_normalized_name_group_reviewed_by_reconciliation_rules,,1915 Farm LLC,Pastured-product farm,farm_activity_confirmed_by_directory,TX,,,,Meyersville ,77974,,,,public_directory_address_or_city,internal_source_value,,(361) 333-5295,1915farm@1915farm.com,internal_source_value,Pastured livestock and/or farm products; see source profile,Pastured-product farm; direct sales,https://1915farm.com/,https://www.facebook.com/1915Farm/,https://www.instagram.com/1915_farm/,,True,,,,,,,,,,2,EatWild Texas directory,https://www.eatwild.com/products/texas.html,1,D,2026-07-15,staged_pending_rules,"1915 Farm LLC, Catherine Klemcke and Tanner Klemcke, 224 Fox Crossing Road, Meyersville TX 77974 . (361) 333-5295 | E-mail: 1915farm@1915farm.com . Website: https://1915farm.com/ . Facebook: https://www.facebook.com/1915Farm/ . Instagram: https://www.instagram.com/1915_farm/ . Google Reviews/Photos . | "
txobs_fe1156e9b78a65b8bfb5,1915 farm,exact_normalized_name_group_reviewed_by_reconciliation_rules,,1915 Farm,Family Farm,farm_activity_confirmed_by_directory_farm_search,TX,DeWitt,48123,https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=224+Fox+Crossing+Rd%2C+Meyersville%2C+TX%2C+77974&benchmark=Public_AR_Current&vintage=Current_Current&format=json,Meyersville,77974,224 Fox Crossing Rd,,,public_directory_address_or_city,internal_source_value,,(361) 212-3255,,internal_source_value,beef; chicken; pork,LocalHarvest Family Farm,https://1915farm.com,http://www.facebook.com/1915Farm,https://instagram.com/1915_farm,,True,,,,,,,,,,3,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/1915-farm-M77357,77357,E,2026-07-15,staged_pending_rules,"Discovered through Aransas County seat search (https://www.localharvest.org/rockport-tx/farms). Listing last updated Jan 21, 2025. We raise Grassfed and Finished Dry Aged Beef, Pasture-Raised Heritage Pork, and Pasture-Raised Chicken here on our small farm in Meyersville Texas. We offer quarterly farm tours and make our meats accessible through our home delivery program. We ship our local and humane meats directly to your doorstep through our online ordering system (on our website) and also offer a subscription model for those that never want to run out of our meats! Local pickups are available by appointment. We enjoying sharing our story and connecting with others online under our social media profiles: Facebook: 1915 Farm and Instagram 1915_Farm A little background: ""I used to work for a pharmaceutical company and sell diabetes medications for a living. This made Tanner and I extremely passionate to get to the source of the problem: what we choose to eat every single day. I quit my pharma career and vowed to use my education of the disease to help prevent, instead of mask the causes of diabetes. Our goal is to help you eat healthier by raising healthier meat. Our animals are raised in their natural environments: outdoors on pasture, with the land and animal welfare at the top of mind, free from drugs and an"
txobs_d567973a54bc82b1e553,1915 farm,exact_normalized_name_group_reviewed_by_reconciliation_rules,,1915 Farm,Farmers Markets & Farm Stands; Farms & Ranches,farm_activity_confirmed_by_statewide_local_food_directory,TX,DeWitt,48123,https://texaslocalfood.org/tclf-partner/1915-farm/,Meyersville,77974,224 Fox Crossing Rd,,,directory_public_business_address,internal_source_value,,361-333-5295,1915farm@1915farm.com,internal_source_value,,Farmers Markets & Farm Stands; Farms & Ranches,https://1915farm.com/,,,,True,False,False,,False,,False,,,,2,Texas Center for Local Food — Farms & Ranches,https://texaslocalfood.org/tclf-partner/1915-farm/,13480,D,2026-07-15,staged_pending_rules,"We raise grassfed beef, pasture raised chicken, and heritage breed pasture raised pork here in Texas. Our animals have room to roam - rooting, grazing, and pecking at the grasses, bugs, and whatever else they find in the sunshine. They are not given hormones or antibiotics. Our feed blend for our chickens and hogs is corn and soy free. We rotate our animals throughout the pastures, allowing ample time between rotations for the soil and grasses to regenerate."
txobs_23de8cae0cde90fee962,2es farm,source_unique_name,,2E'S Farm,Farms & Ranches,farm_activity_confirmed_by_statewide_local_food_directory,TX,Lubbock,48303,https://texaslocalfood.org/tclf-partner/2es-farm/,Wolfforth,79382,,,,city_or_county,internal_source_value,,(806) 790-1109,2esfarms@gmail.com,internal_source_value,,Farms & Ranches,https://www.2esfarms.com/,https://www.facebook.com/2Esfarm/,,,True,False,False,,False,,False,,,,2,Texas Center for Local Food — Farms & Ranches,https://texaslocalfood.org/tclf-partner/2es-farm/,13482,D,2026-07-15,staged_pending_rules,"2 E’s Farm is a Certified Organic Grower located in West Texas, dedicated to cultivating premium, sustainably grown garlic. The farm specializes in several unique and flavorful garlic varieties, carefully nurtured from seed to harvest using organic practices that protect soil health and support biodiversity. In addition to producing fresh garlic for culinary use, 2 E’s Farm also offers certified garlic seed for fellow growers and home gardeners. Whether you’re a professional producer or simply a lover of this versatile and healthful crop, 2 E’s Farm provides the quality and expertise that only a hands-on, family-operated farm can deliver."
txobs_9e011599318c76bbe14c,3jk meat and provisions,source_unique_name,,3jk Meat And Provisions; Llc,Farm And Ranch,official_directory_farm_ranch_claim,TX,Brown,48049,https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=2025+Cr+304%2C+Zephyr%2C+TX%2C+76890&benchmark=Public_AR_Current&vintage=Current_Current&format=json,Zephyr,76890,2025 Cr 304,,,public_official_directory_address,internal_source_value,Scott King,(325) 200-8641,,internal_source_value,Beef; Pork; Seasonings,GO TEXAN Farm And Ranch; Product,,,,,True,,,,,False,,False,,,1,Texas Department of Agriculture — GO TEXAN Farm And Ranch,https://bridge.texasagriculture.gov/GoTexanSearch/?resultsFormat=CommaSeparatedValues&searchType=Advanced&pageSize=2147483647&businessType=Farm+And+Ranch&pageNumber=1,50,B,2026-07-15,staged_pending_rules,Brands: 3jk Meat And Provisions; sales: Direct To Public; Food Service; Mail-Order
txobs_39c78ba542cf276956c7,44 farms,source_unique_name,,44 Farms,Farm-to-school vendor — Meat,official_vendor_candidate_requires_farm_operation_review,TX,Milam,48331,https://www2.census.gov/geo/docs/maps-data/data/rel2020/zcta520/tab20_zcta520_county20_natl.txt,Cameron,76520,"963 PR 44, Cameron, TX 76520",,,official_vendor_resource_address,internal_source_value,,+1 (254) 697-4401,info@44farms.com,internal_source_value,Meat,Farm-to-school vendor candidate,https://44farms.com/,,,,,,,,,True,True,,,,1,Texas Department of Agriculture — Farm to School vendor resource list,https://www.squaremeals.org/Portals/8/files/NSLP/LFS/LFS%20Vendor%20Resource%20List%20Updated%20Nov%202024.pdf?ver=I7PGgvoElV78S-FFin0OiQ%3D%3D,1,E,2026-07-15,staged_pending_entity_type_and_freshness_review,Official November 2024 vendor resource; inclusion does not by itself prove a current farm operation.
txobs_a467d70c7b80f68b39a4,4g reyes farms,source_unique_name,,4G Reyes Farms,U-pick operation,farm_activity_confirmed_by_directory,TX,Atascosa,48013,https://www.pickyourown.org/TXsanantonio.htm,Poteet,78065,590 E Ditto Road,,,public_directory_address,internal_source_value,,(830) 570-1630,jagarcia2000@hotmail.com,internal_source_value,strawberries,U-pick; agritourism,,https://www.facebook.com/Poteet.Strawberries.4GREYESFARMS/,,,True,,,,True,,,,,,3,PickYourOwn — San Antonio,https://www.pickyourown.org/TXsanantonio.htm,1,E,2026-07-15,staged_pending_corrob,"4G Reyes Farms - strawberries | 590 E Ditto Road, Poteet, TX 78065. Phone: (830) 570-1630. Alternate phone: (830) 570-5529. Email: jagarcia2000@hotmail.com . Open: in season, typically from 10am to 4pm or until sold out, but the also close when the weather is bad, so always email, call, see their page, etc. [ Click here to update the listing ] (UPDATED: April 28, 2025, JBS) (ADDED: April 14, 2023, JBS) | "
txobs_781994de0293ebbc5ff0,4k river ranch,source_unique_name,,4K River Ranch,Family Farm,farm_activity_confirmed_by_directory_farm_search,TX,,,,Mineral Wells,76068,825 Benavides Lane,,,public_directory_address_or_city,internal_source_value,,(817) 597-0582,,internal_source_value,"Beekeeper and grower. We sell honey, chemical-free hay and veggies in season. We don't use any chemicals on our land at all. None, nada, never. Want to support the bees and a family farm, give us a call, come visit, or drop us a note. We have rain capture system, solar power, permaculture orchard, and hoop house.",LocalHarvest Family Farm,,http://www.facebook.com/kentolson,,,True,,,,,,,,,,3,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/4k-river-ranch-M70620,70620,E,2026-07-15,staged_pending_rules,"Discovered through Throckmorton County seat search (https://www.localharvest.org/throckmorton-tx/farms). Listing last updated Jan 21, 2025. Beekeeper and grower. We sell honey, chemical-free hay and veggies in season. We don't use any chemicals on our land at all. None, nada, never. Want to support the bees and a family farm, give us a call, come visit, or drop us a note. We have rain capture system, solar power, permaculture orchard, and hoop house."
txobs_71fb233c7b413e6b10ec,5n farm,source_unique_name,,5N Farm,Family Farm,farm_activity_confirmed_by_directory_farm_search,TX,Mitchell,48335,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,Loraine,,,,,public_directory_address_or_city; single-county_2020_census_place_inference,internal_source_value,,(936) 239-4937,,internal_source_value,lamb; rabbit,LocalHarvest Family Farm,https://Homesteadfarmer.blogspot.com,,https://instagram.com/anoldhouseandsomeland,,True,,,,,,,,,,3,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/5n-farm-M67495,67495,E,2026-07-15,staged_pending_rules,"Discovered through Borden County seat search (https://www.localharvest.org/gail-tx/farms). Listing last updated Jan 21, 2025. We have recently moved to this area and are just getting started. Currently we offer eggs produced by hens who are allowed to free range and are fed a natural diet of non-gmo grain and kitchen scraps. We also have handcrafted beeswax candles and all natural goat milk soap made with fresh milk from our herd of Nubian dairy goats. In the future we plan to offer raw honey, fresh produce and possibly even lamb. If you would like to take a nice drive out in the country, we invite you to come out and consider our farm as a source to fill your table and your bellies. Blessings to you from ours."
txobs_b13ec2746cf9acbfd6cf,5n farms,source_unique_name,,5N Farms,Farms & Ranches,farm_activity_confirmed_by_statewide_local_food_directory,TX,Fayette,48149,https://texaslocalfood.org/tclf-partner/5n-farms/,Fayetteville,78940,,29.9052013,-96.6751391,city_or_county,internal_source_value,Tom Neuendorff,(979) 966-2996,fivenfarms@gmail.com,internal_source_value,Meat; Vegetables,Farms & Ranches,https://www.fivenfarms.com/,https://www.facebook.com/fivenfarms,https://www.instagram.com/fivenfarms,,False,False,False,,False,,False,,,,2,Texas Center for Local Food — Farms & Ranches,https://texaslocalfood.org/tclf-partner/5n-farms/,487,D,2026-07-15,staged_pending_rules,"5N Farms is a Texas Century Farm founded in 1887. Located in Fayetteville, TX, 5N offers grass-fed beef (hormone and antibiotic free) and seasonal produce. Visit their website to learn more and come see them at their weekend markets: Bastrop 1832 Farmers Market, Saturday from 10am - 2pm @ 1302 Chestnut Street, Bastrop, TX Budaful Farmer's Market, Sunday from 10am - 2pm @ 204 San Antonio Street, Buda, TX"
